WordChunk,VisualStrength,AuditoryStrength,GustatoryStrength,OlfactoryStrength,TactileStrength,Word,POS,Modality,AnyPositive,AllEqual
readable__a,0.032528683,0,0.026560594,0,0,readable,a,Visual,yes,no
willpower__n,0.017606163,8.45E-05,0.041821861,0,-0.02967843,willpower,n,Gustatory,yes,no
arab__a,0.025105821,-0.02866462,-0.087093942,0,-0.036540875,arab,a,Visual,yes,no
concoct__v,-0.051737105,0.012319915,0,0,-0.007302774,concoct,v,Auditory,yes,no
ramekin__n,0,0,0.070989799,0.179666889,0.087455389,ramekin,n,Olfactory,yes,no
rancher__n,0.003430457,-0.020450539,-0.044769098,0,0.047303369,rancher,n,Haptic,yes,no
semifinal__n,-0.00634335,-0.00412283,0.064043681,0,0.064302918,semifinal,n,Haptic,yes,no
bun__n,-0.098842025,-0.108848689,0.182570327,0,-0.07526105,bun,n,Gustatory,yes,no
devastate__v,-0.035293592,-0.000860613,-0.074915302,0,0.019725582,devastate,v,Haptic,yes,no
bullish__a,0.017089591,-0.00369567,0.018103999,0,0,bullish,a,Gustatory,yes,no
jazz__n,-0.027823496,-0.012197188,0.002291618,-0.014251653,0.020803498,jazz,n,Haptic,yes,no
high-minded__a,0.037292494,0,0,0,0,high-minded,a,Visual,yes,no
cruel__a,-0.040971043,-0.051888532,0.004546817,0,-0.05309179,cruel,a,Gustatory,no,no
furthermore__r,-0.036250876,-0.027384518,-0.029486659,0,-0.00281406,furthermore,r,Olfactory,no,no
runaway__a,-0.11160616,-0.002600501,-0.07881875,0,-0.014258884,runaway,a,Olfactory,no,no
gritty__a,-0.002348146,-0.023510075,0.014747086,0,0.012650817,gritty,a,Gustatory,yes,no
epithet__n,0.009732747,-0.046883475,0,0,0.049273116,epithet,n,Haptic,yes,no
chowder__n,0,0,0.172696798,0,0,chowder,n,Gustatory,yes,no
runaway__n,-0.027349606,-0.018304463,0.026560594,0,-0.055002013,runaway,n,Gustatory,yes,no
mechanized__a,0,0,0,0,0.012829855,mechanized,a,Haptic,yes,no
effective__a,-0.017067988,0.002761097,-0.032616737,0,-0.026499554,effective,a,Auditory,no,no
suspense__n,0.032157471,-0.021245568,-0.008296335,0,-0.032178898,suspense,n,Visual,yes,no
condone__v,-0.007659687,0.052726787,0,0,0,condone,v,Auditory,yes,no
irrelevance__n,0,-0.005317779,0,0,0.003300023,irrelevance,n,Haptic,no,no
merry__a,-0.011053478,0,0.050088461,0,-0.012442341,merry,a,Gustatory,yes,no
m&m__v,0,0,0.103263556,0.247518401,0,m&m,v,Olfactory,yes,no
loudest__a,-0.048450779,0.017795647,0.020941297,0,-0.049878184,loudest,a,Gustatory,yes,no
royals__n,-0.027349606,-0.018304463,0.068300461,0,0.019593849,royals,n,Gustatory,yes,no
metropolis__n,0.069397763,0,0,0,0.016189059,metropolis,n,Visual,yes,no
memorandum__n,0,0.044714243,0,0,-0.026383581,memorandum,n,Auditory,yes,no
follows__n,0.023466676,0,0.057840804,0,0,follows,n,Gustatory,yes,no
asphalt__n,-0.020867981,-0.031524939,0.014050153,0.120010793,-0.0223471,asphalt,n,Olfactory,yes,no
crocodile__n,0.01954918,0.009542516,0,0,0,crocodile,n,Visual,yes,no
uninterrupted__a,0.044571335,0,0,0,0,uninterrupted,a,Visual,yes,no
conversation__n,-0.039655714,0.032783143,-0.045591164,0,-0.00998293,conversation,n,Auditory,yes,no
lining__n,0.075935988,-0.013040602,-0.026294574,0,-0.042567516,lining,n,Visual,yes,no
conciliatory__a,0.063751235,-0.044461563,0,0,0.026812967,conciliatory,a,Visual,yes,no
eviction__n,0,-0.029066962,0,0,-0.039327598,eviction,n,Visual,no,no
tolerance__n,0.018318167,0.020502749,-0.083608802,0,-0.0553157,tolerance,n,Auditory,yes,no
adolescence__n,0.024518373,-0.043978288,0,0,0.014134787,adolescence,n,Visual,yes,no
gait__n,0.0049158,-0.05147807,0,0,0.044260312,gait,n,Haptic,yes,no
piracy__n,0,-0.009882586,0.054869375,0,0.019039171,piracy,n,Gustatory,yes,no
deserve__v,-0.036668091,0.032342492,-0.020913628,0,0.005573602,deserve,v,Auditory,yes,no
midlife__n,0,0,0,0,0.066105594,midlife,n,Haptic,yes,no
hawaiian__n,-0.031941573,-0.015360976,0,0,0.029489624,hawaiian,n,Haptic,yes,no
hawaiian__a,-0.007363099,-0.074054709,0.051460482,0.132712222,-0.017471178,hawaiian,a,Olfactory,yes,no
midlife__a,-0.020218887,0.027462613,0,0,0.045189608,midlife,a,Haptic,yes,no
digest__v,0,0.004415892,0.000845836,0,-0.033330436,digest,v,Auditory,no,no
move__n,0.042364777,-0.016726687,-0.049429756,-0.136899511,-0.026698941,move,n,Visual,yes,no
nemesis__n,0.046312872,-0.022799046,0.008349153,0,-0.013146697,nemesis,n,Visual,yes,no
hawaiian__r,0.046551219,0.036544555,0,0,0.045162357,hawaiian,r,Visual,yes,no
known__a,-0.03403461,-0.010555097,-0.079936631,0,0.012903324,known,a,Haptic,yes,no
mulligan__n,0,0.036544555,0.079338628,0,0.045162357,mulligan,n,Gustatory,yes,no
proprietor__n,-0.048450779,-0.058735142,0,0,0.027372731,proprietor,n,Haptic,yes,no
interstitial__n,0.05022586,0,0,0,0.048727364,interstitial,n,Visual,yes,no
interest-rate__n,0.031690925,0.02168426,0,0,0.030302062,interest-rate,n,Visual,yes,no
surprisingly__r,-0.003723061,-0.058289763,0.037319988,-0.033736644,-0.038929785,surprisingly,r,Gustatory,yes,no
compassion__n,0.029952801,0.006811334,0.002688852,0,-0.016340271,compassion,n,Visual,yes,no
gaming__n,0.009503037,0.016633224,0.022038715,0,-0.025164131,gaming,n,Gustatory,yes,no
commercialization__n,-0.014469367,0.022733652,0,0,0,commercialization,n,Auditory,yes,no
final__a,-0.025513288,-0.022211561,0.052737082,-0.075837138,0.009809893,final,a,Gustatory,yes,no
hemisphere__n,0.088456313,0,0,0,0.048742176,hemisphere,n,Visual,yes,no
final__n,-0.011622562,-0.0308512,0.01131241,0,0.033622694,final,n,Haptic,yes,no
preoccupation__n,-0.025421498,0,-0.018949696,0,-0.026848903,preoccupation,n,Auditory,no,no
inroad__n,0.101696807,-0.018837737,-0.047827781,0,-0.082004053,inroad,n,Visual,yes,no
knowledgeable__a,-0.032131627,-0.014730785,-0.044021304,0,-0.052616283,knowledgeable,a,Olfactory,no,no
disgusted__a,-0.020816569,-0.003927238,0,0,-0.022205432,disgusted,a,Gustatory,no,no
no-confidence__a,0,0,0.071494841,0,0,no-confidence,a,Gustatory,yes,no
self-destruction__n,0,-0.027725223,0.118312073,0,0,self-destruction,n,Gustatory,yes,no
end-zone__n,0,0.02168426,0,0,0.030302062,end-zone,n,Haptic,yes,no
committeeman__n,0,0.050037412,0,0,0.030302062,committeeman,n,Auditory,yes,no
gnarled__a,0,0,0.04207089,0,0.035865088,gnarled,a,Gustatory,yes,no
writable\/rewritable__a,0,0.071127833,0,0,0.080162686,writable\/rewritable,a,Haptic,yes,no
archenemy__n,0,0.036544555,0,0,0.095742133,archenemy,n,Haptic,yes,no
sap__n,0.067533,0,0.071494841,0,0,sap,n,Gustatory,yes,no
inaugurate__v,-0.073833645,-0.065722152,0.028937493,0,-0.041758425,inaugurate,v,Gustatory,yes,no
dishonor__n,0.074964391,0,0,0,0.023954859,dishonor,n,Visual,yes,no
sap__v,0.076742651,0,-0.018949696,0,-0.026848903,sap,v,Visual,yes,no
radiation__n,-0.014914926,-0.00689024,-0.019470233,0,-0.038938093,radiation,n,Olfactory,no,no
egyptians__n,0.049876333,-0.04565926,0.021635684,0.081713558,0.013595703,egyptians,n,Olfactory,yes,no
sonic__a,0.041035861,0.040936802,0.057386558,0,0.002422937,sonic,a,Gustatory,yes,no
prescription__n,0.006419719,-0.015534795,-0.028636108,0,-0.045601304,prescription,n,Visual,no,no
bawl__v,0,0.105404351,0,0,0.031142986,bawl,v,Auditory,yes,no
ninth-grader__n,0,0,0,0,0.073393733,ninth-grader,n,Haptic,yes,no
doubling__n,0,0.034080406,0,0,0,doubling,n,Auditory,yes,no
huffy__a,0.046551219,0.036544555,0,0,0.045162357,huffy,a,Visual,yes,no
diva__n,0.03457549,0,0.02852743,0,-0.053125967,diva,n,Visual,yes,no
temple__n,0.003935758,-0.000821167,0.03352207,0,0.002369027,temple,n,Gustatory,yes,no
politicking__n,0,0.010004318,0,0,0.048727364,politicking,n,Haptic,yes,no
spa__n,0,-0.002768143,0.09672187,0,-0.055002013,spa,n,Gustatory,yes,no
influence__n,-0.025673236,-0.023245611,-0.013418376,0.108908786,-0.023918972,influence,n,Olfactory,yes,no
privilege__n,-0.026907897,-0.009749982,-0.016953151,0.050543394,0.000387718,privilege,n,Olfactory,yes,no
influence__v,-0.033622865,-0.013568268,-0.031832981,0,-0.062971488,influence,v,Olfactory,no,no
bicker__v,0.0049158,0,0,0,0,bicker,v,Visual,no,no
individual-size__a,0.053798429,0,0.141657451,0,0,individual-size,a,Gustatory,yes,no
post-boomer__a,0,0.08500002,0,0,0.093856978,post-boomer,a,Haptic,yes,no
sand__v,0.040580646,0,0,0,0,sand,v,Visual,yes,no
astonishing__a,0.037158045,-0.063402486,-0.027604151,0,0.015698581,astonishing,a,Visual,yes,no
sand__n,0.042197543,-0.014615356,-0.000499237,0.011134851,0.012310498,sand,n,Visual,yes,no
bump-and-run__a,0,0.043514065,0,0,0.073508316,bump-and-run,a,Haptic,yes,no
retrofit__n,0,0.074449434,0,0,0.05405491,retrofit,n,Auditory,yes,no
burglar__a,0,0.047635999,0,0,0.073393733,burglar,a,Haptic,yes,no
recast__v,0.010016297,-0.029066962,0,0,-0.020032109,recast,v,Visual,yes,no
bettor__n,0.040580646,0,0,0,0,bettor,n,Visual,yes,no
khartoum__n,0,0.064215894,0,0,0,khartoum,n,Auditory,yes,no
obliged__a,0.061102728,0,0,0,0.059623609,obliged,a,Visual,yes,no
missing__a,0.022052791,-0.004246547,-0.000182011,0,-0.00335711,missing,a,Visual,yes,no
cautiously__r,0.014786844,0.034877288,-0.035138256,0,0,cautiously,r,Auditory,yes,no
openness__n,-0.057213769,-0.022079331,0.002647158,0,-0.058602632,openness,n,Gustatory,no,no
sucker__n,-0.074144549,-0.058735142,0.13662782,0,-0.015455957,sucker,n,Gustatory,yes,no
pari__n,0.005761074,0,0.093675738,0,-0.004460419,pari,n,Gustatory,yes,no
teen-ager__n,0.022805251,0.010501616,-0.006625545,0,0.010407388,teen-ager,n,Visual,yes,no
self-awareness__n,-0.003646382,0,0.029141027,0,-0.005035245,self-awareness,n,Gustatory,yes,no
saffron__a,0.020819604,-0.05147807,0.081547369,0,0,saffron,a,Gustatory,yes,no
optimal__a,-0.002392216,0,0.068668528,0,0.032271274,optimal,a,Gustatory,yes,no
saffron__n,0.006858366,-0.091697893,0.085767266,0.153231713,-0.08266304,saffron,n,Olfactory,yes,no
positional__a,0,0.028700767,0,0,0.087518751,positional,a,Haptic,yes,no
uneasy__a,0.05646261,-0.045766442,0,0,-0.026923474,uneasy,a,Visual,yes,no
remarkable__a,0.015485952,-0.024479823,-0.044080646,0,-0.02532594,remarkable,a,Visual,yes,no
ascot__n,0.053798429,0.015337058,0,0,0,ascot,n,Visual,yes,no
summons__n,0.042816718,-0.003927238,0,0,0.00492972,summons,n,Visual,yes,no
overvalue__v,0.02815316,0.017868797,0.083178156,0,0,overvalue,v,Gustatory,yes,no
walled__a,0.020819604,0,0,0,0.032694034,walled,a,Haptic,yes,no
global__a,-0.018763957,-0.022430274,-0.042793813,0,-0.029468303,global,a,Olfactory,no,no
mile__n,-0.009956698,-0.025847886,-0.017871648,-0.047651836,0.008881199,mile,n,Haptic,no,no
colossal__a,-0.010148809,0.015055827,0,0,0,colossal,a,Auditory,yes,no
aroma__n,-0.002077362,-0.125376267,0.074668278,0.300364618,-0.047037509,aroma,n,Olfactory,yes,no
fullest__a,-0.007813535,0.010295779,0.006347699,0,0.041114262,fullest,a,Haptic,yes,no
comedic__a,0.000401777,0,0.054869375,0,0,comedic,a,Gustatory,yes,no
hand-holding__n,0.04236469,0,0,0,0.040937285,hand-holding,n,Visual,yes,no
terrain__n,-0.005867697,-0.061498705,0.070651807,0,-0.06259552,terrain,n,Gustatory,yes,no
stony__a,-0.014469367,-0.024476031,0,0,0.011453066,stony,a,Haptic,yes,no
whoop__n,0.067533,0.028700767,0,0,0,whoop,n,Visual,yes,no
bet__v,-0.016901423,0.010259946,-0.040079306,0,-0.001039031,bet,v,Auditory,yes,no
ruby__a,0.111744897,0,0.046577777,0,0,ruby,a,Visual,yes,no
assail__v,0.025547556,-0.009438322,0.016258349,0,-0.020615715,assail,v,Visual,yes,no
reallocation__n,0,0.078483898,0,0,0,reallocation,n,Auditory,yes,no
innovator__n,0.068559737,-0.043112359,0.020972169,0,0,innovator,n,Visual,yes,no
zoologist__n,0,0.034080406,0,0,0.022576404,zoologist,n,Auditory,yes,no
passer-by__n,0.067588073,-0.018304463,0,0,-0.028777012,passer-by,n,Visual,yes,no
revered__a,-0.057590113,-0.021450828,0,0,-0.040117509,revered,a,Gustatory,no,no
avarice__n,0.05022586,0.010004318,0.054869375,0,0,avarice,n,Gustatory,yes,no
linebacker__n,-0.005287123,0.029103256,0.000545072,-0.074991389,0.030768632,linebacker,n,Haptic,yes,no
eternity__n,0.021092345,-0.018304463,-0.020825742,0,0.019593849,eternity,n,Visual,yes,no
caregiver__n,-0.003822846,-0.059813338,-0.017019264,0,-0.005278921,caregiver,n,Olfactory,no,no
diagram__n,0.012880472,-0.024476031,0,0,0.011453066,diagram,n,Visual,yes,no
watchful__a,0.069428741,-0.013700969,0.015798095,0,-0.020032109,watchful,a,Visual,yes,no
antinuclear__a,0.037292494,-0.000723183,0,0,0,antinuclear,a,Visual,yes,no
human__n,0.00091567,-0.024076442,0.015061202,-0.044578929,-0.004237507,human,n,Gustatory,yes,no
thorough__a,-0.064431096,0.042186148,-0.049155068,0,-0.038673182,thorough,a,Auditory,yes,no
particularly__r,-0.000550424,-0.01960092,-0.00733308,-0.063351356,-0.019420083,particularly,r,Visual,no,no
republican__n,0.001890963,-0.011252272,-0.091123937,0,-0.017053858,republican,n,Visual,no,no
human__a,-0.04103562,-0.021989336,0.003671917,0.001563103,-0.046079313,human,a,Gustatory,no,no
remote__a,0.003171083,-0.039023781,-0.114374102,0,-0.008445867,remote,a,Visual,no,no
snowball__v,0.020091697,0.009807334,0,0,-0.008841722,snowball,v,Visual,yes,no
midflight__n,0,0.074449434,0,0,0.05405491,midflight,n,Auditory,yes,no
wave__n,0.001743611,-0.01534629,-0.044497288,-0.046822219,0.006659772,wave,n,Haptic,no,no
squarely__r,-0.003934219,-0.014730785,0.06239258,0,0,squarely,r,Gustatory,yes,no
relapse__n,0,0,0,0,0.095742133,relapse,n,Haptic,yes,no
simplistically__r,0,0.09603018,0,0,0.05405491,simplistically,r,Auditory,yes,no
invert__v,0,0,0.037476294,0,0.051853905,invert,v,Haptic,yes,no
tent__n,0.007740994,-0.024874414,0.002974854,0,-0.014695814,tent,n,Visual,no,no
wave__v,-0.005630192,-0.001595068,0.013512698,0,0.03529324,wave,v,Haptic,yes,no
syrian__a,-0.049806673,0.001285702,0,0,0.045307898,syrian,a,Haptic,yes,no
film__n,0.034106181,-0.026025234,-0.045791079,-0.036439475,-0.003568279,film,n,Visual,yes,no
career-low__a,0,0.009542516,0.052336589,0,0.018160317,career-low,a,Gustatory,yes,no
film__v,-0.004083682,-0.019106165,-0.146327184,0,-0.02132296,film,v,Olfactory,no,no
blanket__n,0.024411785,-0.039760015,0.015389968,0,-0.005139242,blanket,n,Visual,yes,no
grounder__n,-0.063174034,-0.059752673,0.051167883,0,0.075265966,grounder,n,Haptic,yes,no
intrude__v,-0.026611111,0.025988653,0,0,0,intrude,v,Auditory,yes,no
immodestly__r,0,0.050037412,0,0,0.030302062,immodestly,r,Auditory,yes,no
barbed__a,0.014059922,-0.031678621,0.062719862,0,-0.049207471,barbed,a,Gustatory,yes,no
ice-cream__a,0.079359376,0,0.033178337,0,0.026725755,ice-cream,a,Visual,yes,no
pocket-size__a,0,0.059322713,0.104897806,0,0,pocket-size,a,Gustatory,yes,no
individualized__a,0,0.013719446,0.029141027,0,-0.005035245,individualized,a,Gustatory,yes,no
liquor__n,-0.054948177,-0.088157489,0.157138736,0.03659142,-0.066914113,liquor,n,Gustatory,yes,no
top-ranked__a,-0.015409674,0.016300481,0.01950846,0.094893456,0.017012358,top-ranked,a,Olfactory,yes,no
guffawing__a,0,0.112223651,0,0,0,guffawing,a,Auditory,yes,no
geometry__n,0.023466676,0,0,0,-0.025165707,geometry,n,Visual,yes,no
surface__v,0.118715774,-0.068570446,-0.001677633,0,-0.068185553,surface,v,Visual,yes,no
mutilation__n,0.004688885,0,0,0,0,mutilation,n,Visual,no,no
armored__a,-0.01767604,-0.051652019,0.012063914,0,0.022749794,armored,a,Haptic,yes,no
prostitution__n,-0.041084178,-0.00412283,0,0,0.035338284,prostitution,n,Haptic,yes,no
attache__n,0,0.042819052,0,0,0.031142986,attache,n,Auditory,yes,no
cuff__v,0,0,0,0,0.110408145,cuff,v,Haptic,yes,no
overdose__v,0.004688885,0,0.037476294,0.175072293,0,overdose,v,Olfactory,yes,no
overdose__n,0.009283481,0,0,0,0.007894618,overdose,n,Visual,no,no
duke__v,0,0,0.052336589,0.189932588,0,duke,v,Olfactory,yes,no
repairman__n,0,0.073200037,0,0,0,repairman,n,Auditory,yes,no
clockwise__a,0,0,0.058131131,0.19572713,0.052371023,clockwise,a,Olfactory,yes,no
whiff__v,-0.069937136,-0.035418434,0,0.264282521,0.054499667,whiff,v,Olfactory,yes,no
nay__n,0,0.107754863,0,0,0,nay,n,Auditory,yes,no
undeserved__a,0,0,0.081540385,0.222954863,0.046415675,undeserved,a,Olfactory,yes,no
crucifix__n,0.014906821,0.004415892,0.04928095,0,-0.033330436,crucifix,n,Gustatory,yes,no
himself__n,0.041762903,-0.01794405,0.077138471,0,0,himself,n,Gustatory,yes,no
provost__n,0,0.052810073,0.047006127,0,0,provost,n,Auditory,yes,no
whiff__n,-0.043848918,0.019174664,0.010371961,0.215021997,0.044952534,whiff,n,Olfactory,yes,no
dimension__n,0.023594002,-0.016690967,-0.002113654,0,-0.022394673,dimension,n,Visual,yes,no
callous__a,0.03677176,0.042820095,0,0,0.000732828,callous,a,Auditory,yes,no
hearstdc.com__n,0,0,0,0,0.099678705,hearstdc.com,n,Haptic,yes,no
gimmick__n,-0.000147792,0.023547288,0.008694342,0,-0.023475611,gimmick,n,Auditory,yes,no
cattle__n,-0.050995556,-0.016668586,0.02730608,0,0.023433342,cattle,n,Gustatory,yes,no
bound__n,-0.01169785,0.021196862,-0.077187533,0,0.053756139,bound,n,Haptic,yes,no
game-day__a,0,0.064317916,0.018318043,0,0,game-day,a,Auditory,yes,no
high-growth__n,0,0,0.058131131,0.19572713,0.023954859,high-growth,n,Olfactory,yes,no
ranking__a,-0.013934434,0.035772325,-0.086834397,0,-0.063888603,ranking,a,Auditory,yes,no
designated__a,0,0.057248637,0,0,0.037318569,designated,a,Auditory,yes,no
axle__n,0.053214274,0,0.071179907,0,0,axle,n,Gustatory,yes,no
snowball__n,0,-0.017459524,0.139468716,0,0,snowball,n,Gustatory,yes,no
damper__n,0.053214274,-0.021060143,0,0,0,damper,n,Visual,yes,no
clot__n,0,0.012161944,-0.029486659,0,-0.037678281,clot,n,Auditory,yes,no
substantiate__v,0,0.028700767,0.071494841,0,0.037318569,substantiate,v,Gustatory,yes,no
drunk__a,0.00806316,0.03845017,-0.098746898,0,0.051956773,drunk,a,Haptic,yes,no
clothe__v,0.088572891,-0.126824046,-0.011725508,0,-0.005277285,clothe,v,Visual,yes,no
drunk__n,-0.029338533,-0.058735142,0.005035596,0,0.027372731,drunk,n,Haptic,yes,no
often__r,0.001826866,-0.016615918,-0.01046325,-0.018904025,-0.001300005,often,r,Visual,no,no
static__a,-0.011511229,0.029414537,-0.061191491,0,0.02048606,static,a,Auditory,yes,no
matchmaker__n,0.048804027,0.017868797,0,0,-0.000997935,matchmaker,n,Visual,yes,no
industries__n,-0.049272539,-0.005147386,-0.031219619,0,0.003107427,industries,n,Haptic,no,no
warmer__a,0.034734799,-0.098739134,-0.010258295,0,-0.007302539,warmer,a,Visual,yes,no
gleefully__r,0,0.02631485,0,0,0,gleefully,r,Auditory,yes,no
physiological__a,0.088953885,0,0,0,0.056670853,physiological,a,Visual,yes,no
trading__n,-0.019205736,-0.022664631,0.07263017,-0.098180839,-0.020111761,trading,n,Gustatory,yes,no
detector__n,-0.006332414,-0.017694877,0,0,0.023470706,detector,n,Haptic,yes,no
wary__a,0.002425666,-0.038051994,-0.039840905,0,0.029935426,wary,a,Haptic,yes,no
exaggeration__n,0.020024728,-0.058735142,0,0,0.027372731,exaggeration,n,Haptic,yes,no
mountainous__a,0.038532181,-0.064106001,-0.000443138,0,-0.008196597,mountainous,a,Visual,yes,no
hollycainseattle-pi__a,0.031690925,0,0,0,0.097257348,hollycainseattle-pi,a,Haptic,yes,no
home-style__a,0.025343722,0,0.10933852,0,0.023954859,home-style,a,Gustatory,yes,no
sum__v,-0.015797023,-0.005525697,-0.075483462,0,-0.066312837,sum,v,Olfactory,no,no
vertical__a,0.042079125,-0.01173128,0.025369835,0,-0.06921801,vertical,a,Visual,yes,no
sum__n,0.03414796,-0.002851373,0,0,-0.087575774,sum,n,Visual,yes,no
parliamentary__a,-0.021543568,-0.013839055,-0.074242422,-0.004377005,-0.012781479,parliamentary,a,Olfactory,no,no
directorate__n,0.01954918,0.07514872,0,0,0,directorate,n,Auditory,yes,no
smoke__n,-0.005911625,0.010451376,-0.015626878,0.075558409,0.006145729,smoke,n,Olfactory,yes,no
explosive__n,-0.049624777,0.033620237,0,0,0.005101107,explosive,n,Auditory,yes,no
explosive__a,-0.027981406,-0.030063377,-0.0640022,-0.012818064,0.007435926,explosive,a,Haptic,no,no
alloy__n,0.04236469,0,0,0,0,alloy,n,Visual,yes,no
apron__n,0.073116103,0,0.079895973,0,0.017012358,apron,n,Gustatory,yes,no
smoke__v,-0.022799958,0.02526,0.019811293,0.049941591,-0.001542346,smoke,v,Olfactory,yes,no
goose__n,-0.004189262,-0.056099966,0.152514688,0,-0.038294989,goose,n,Gustatory,yes,no
corn-based__a,0.106521109,0,0,0,0,corn-based,a,Visual,yes,no
hack__n,0.048804027,0,0,0,0,hack,n,Visual,yes,no
theory__n,-0.015380761,-0.027683382,-0.041413254,-0.090079856,-0.025874176,theory,n,Visual,no,no
steelhead__n,0.019033775,-0.067874476,0.130235825,0,-0.040117509,steelhead,n,Gustatory,yes,no
long-grain__a,0,0,0.158068046,0,0,long-grain,a,Gustatory,yes,no
hack__v,-0.032917728,0.005874155,0,0,0.022797747,hack,v,Haptic,yes,no
reports__n,0,-0.041948238,0.091944624,0,0,reports,n,Gustatory,yes,no
fly-fishing__n,0,0,-0.005813393,0,0.037039697,fly-fishing,n,Haptic,yes,no
endocrinology__n,0,0.089233367,0,0,0.018160317,endocrinology,n,Auditory,yes,no
landscape__n,0.03157366,-0.034025718,-0.054615744,-0.047937383,-0.029386314,landscape,n,Visual,yes,no
miscalculate__v,0,0.029007108,0,0,0.001887293,miscalculate,v,Auditory,yes,no
top-notch__a,-0.034454899,-0.01794405,0.046645994,0,0,top-notch,a,Gustatory,yes,no
quarter-century__n,0.047542273,-0.093043766,0,0,-0.059017518,quarter-century,n,Visual,yes,no
leverage__n,-0.03042472,-0.057322806,-0.058077839,0,0.012406531,leverage,n,Haptic,yes,no
chile__n,0.011450346,0,0.182250975,0.050761602,-0.031608171,chile,n,Gustatory,yes,no
attribute__n,0.046434769,-0.012851434,-0.035138256,0,-0.051588826,attribute,n,Visual,yes,no
increased__a,0.014059922,0.003402964,0,0,-0.022821663,increased,a,Visual,yes,no
rig__n,0.005945598,-0.065444456,0,0,0.039104036,rig,n,Haptic,yes,no
chile__a,0.003479784,-0.054410968,0.149876057,0.130985179,-0.026383581,chile,a,Gustatory,yes,no
rig__v,-0.016814135,-0.00369567,0.018103999,0,-0.005432715,rig,v,Gustatory,yes,no
prominent__a,-0.001922189,-0.006270295,-0.01121087,0,-0.053533638,prominent,a,Olfactory,no,no
leverage__v,-0.0151696,0.013956032,0,0,0,leverage,v,Auditory,yes,no
attribute__v,-0.081306825,-0.033396104,0.005384062,0.006636955,-0.042359257,attribute,v,Olfactory,no,no
consist__v,-0.056378441,-0.025853801,0.056510896,0,-0.072871402,consist,v,Gustatory,yes,no
verify__v,-0.011591105,-0.022799046,0,0,-0.049368051,verify,v,Gustatory,no,no
zesty__a,-0.014469367,0,0.131671173,0.211853554,-0.015858229,zesty,a,Olfactory,yes,no
monkey__n,-0.013608632,-0.009015362,0.033556286,0.016196069,0.008446209,monkey,n,Gustatory,yes,no
disconcerting__a,0,0,0.136925526,0,0,disconcerting,a,Gustatory,yes,no
figuratively__r,0.00728274,-0.049220389,0.021146729,0,0.005826665,figuratively,r,Gustatory,yes,no
jiffy__n,0,0,0.08768411,0,0.051853905,jiffy,n,Gustatory,yes,no
airborne__a,0.054860438,-0.091843819,0.037507457,0,-0.023648476,airborne,a,Visual,yes,no
crunch__n,-0.06666614,0.102765327,-0.031748006,0,-0.036011612,crunch,n,Auditory,yes,no
mid-december__n,0,0,0,0,0.061844926,mid-december,n,Haptic,yes,no
hero__n,-0.000226669,-0.003976921,-0.017291764,-0.092917574,0.007834858,hero,n,Haptic,no,no
three-time__a,-0.020816569,0,0.040054431,0,0.041337598,three-time,a,Haptic,yes,no
noonday__n,0.117283608,0,0,0,0.064320609,noonday,n,Visual,yes,no
tion__n,-0.044126604,-0.020152959,-0.037149726,0,-0.04555401,tion,n,Olfactory,no,no
co-founders__n,0.003314699,-0.006969664,0,0,0.038184947,co-founders,n,Haptic,yes,no
crunch__v,-0.022382388,0.055125303,0.005291683,0,0.077202159,crunch,v,Haptic,yes,no
ineffectual__a,0,0,0.097675131,0,0,ineffectual,a,Gustatory,yes,no
luggage__n,0.010397941,-0.049930248,0.008687976,0,0.040304885,luggage,n,Haptic,yes,no
glory__n,-0.022171561,-0.029533355,-0.010696157,0,-0.003844271,glory,n,Olfactory,no,no
imagination__n,-0.010003939,-0.031300067,-0.022082608,0,0.024791615,imagination,n,Haptic,yes,no
whopping__a,0.03677176,-0.068950277,0.020972169,0,-0.014858035,whopping,a,Visual,yes,no
jaywalk__v,0.038707432,0,0.101230305,0,0,jaywalk,v,Gustatory,yes,no
heartbreak__n,-0.010148809,0.028353245,0.023548496,0,0.024233665,heartbreak,n,Auditory,yes,no
exciting__a,0.005893618,0.030903704,-0.01079798,-0.007965302,-0.038750108,exciting,a,Auditory,yes,no
giveth__v,0,0.074449434,0,0,0.05405491,giveth,v,Auditory,yes,no
onslaught__n,0,0,0.072893995,0,0.013842613,onslaught,n,Gustatory,yes,no
literate__a,0.009283481,-0.000723183,0,0,0,literate,a,Visual,no,no
rejuvenated__a,0.04236469,0,0,0,0.040937285,rejuvenated,a,Visual,yes,no
genome__n,-0.016817005,-0.027734494,-0.066054616,0,-0.056687299,genome,n,Olfactory,no,no
flicker__n,0.09165967,0,0,0,0.010463541,flicker,n,Visual,yes,no
joist__n,0.030968743,-0.041948238,0.000845836,0,0.013450746,joist,n,Visual,yes,no
flicker__v,0.078719609,0,0.031305089,0,0,flicker,v,Visual,yes,no
innocent__n,0.068559737,-0.023892889,0,0,0.013842613,innocent,n,Visual,yes,no
cannibalism__n,-0.020816569,0,0.040054431,0,0.025114135,cannibalism,n,Gustatory,yes,no
young__a,0.011031548,-0.029373288,-0.042695792,0.013755892,-0.004920799,young,a,Olfactory,yes,no
young__n,0.02815316,0.038313099,0,0,-0.000997935,young,n,Auditory,yes,no
noun__n,0,0.017868797,0,0,-0.000997935,noun,n,Auditory,yes,no
